what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323063637770
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323063638630
error,log,,,"welcome.xml: Failed to convert @drawable/welcome_city_bg into a drawable",1323063639708
error,log,,,"welcome.xml: Failed to convert @drawable/welcome_city_bg into a drawable",1323063639723
error,log,,,"welcome.xml: Failed to convert @drawable/welcome_city_bg into a drawable",1323063640380
error,log,,,"welcome.xml: Failed to convert @drawable/welcome_city_bg into a drawable",1323063640380
error,log,,,"welcome.xml: Failed to convert @drawable/welcome_city_bg into a drawable",1323063640739
error,log,,,"welcome.xml: Failed to convert @drawable/welcome_city_bg into a drawable",1323063640739
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1323063645583
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323063651973
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323063652145
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323063653098
error,log,,,"welcome.xml: Failed to convert @drawable/welcome_city_bg into a drawable",1323063654098
error,log,,,"welcome.xml: Failed to convert @drawable/welcome_city_bg into a drawable",1323063654098
error,log,,,"welcome.xml: Failed to convert @drawable/welcome_city_bg into a drawable",1323063654755
error,log,,,"welcome.xml: Failed to convert @drawable/welcome_city_bg into a drawable",1323063654755
error,log,,,"welcome.xml: Failed to convert @drawable/welcome_city_bg into a drawable",1323063655192
error,log,,,"welcome.xml: Failed to convert @drawable/welcome_city_bg into a drawable",1323063655192
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1323063660895
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1323063661333
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1323063662067
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1323063662411
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1323063662770
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1323063663114
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323063664645
error,log,,,"welcome.xml: Failed to convert @drawable/welcome_city_bg into a drawable",1323063666302
error,log,,,"welcome.xml: Failed to convert @drawable/welcome_city_bg into a drawable",1323063666302
error,log,,,"welcome.xml: Failed to convert @drawable/welcome_city_bg into a drawable",1323063666427
error,log,,,"welcome.xml: Failed to convert @drawable/welcome_city_bg into a drawable",1323063666427
error,log,,,"welcome.xml: Failed to convert @drawable/welcome_city_bg into a drawable",1323063666739
error,log,,,"welcome.xml: Failed to convert @drawable/welcome_city_bg into a drawable",1323063666739
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1323063670005
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323063672098
error,log,,,"welcome.xml: Failed to convert @drawable/welcome_city_bg into a drawable",1323063673348
error,log,,,"welcome.xml: Failed to convert @drawable/welcome_city_bg into a drawable",1323063673348
error,log,,,"welcome.xml: Failed to convert @drawable/welcome_city_bg into a drawable",1323063673770
error,log,,,"welcome.xml: Failed to convert @drawable/welcome_city_bg into a drawable",1323063673786
error,log,,,"welcome.xml: Failed to convert @drawable/welcome_city_bg into a drawable",1323063674161
error,log,,,"welcome.xml: Failed to convert @drawable/welcome_city_bg into a drawable",1323063674161
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1323063701052
